"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"2 pokoje | Saska Kępa | 57,71m2",999000,17311,2,57.71,"Saska Kępa","Praga-Południe",NA,"do zamieszkania","7/14","balkon","613 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1963,"blok",NA,"tak","monitoring / ochrona","pom. użytkowe"
"Bezpośrednio 40 m2 z miejscem parkingowym Wola",890000,22250,2,40,"Czyste","Wola","spółdzielcze wł. prawo do lokalu","do zamieszkania","8/9","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2001,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Warszawa –Ochota – ul. Bitwy Warszawskiej 1920 43m",769000,17884,2,43,"Szczęśliwice","Ochota","pełna własność","do zamieszkania","3/7",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",1954,"kamienica",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"5-pokojowe mieszkanie przy Wiśle, Oddanie Q1 2024r",1421097,14780,5,96.15,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","5/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","teren zamknięty, monitoring / ochrona","żelbet"
"3-pokojowe z balkonem. Blisko Metra !",670000,13958,3,48,"Bródno","Targówek",NA,"do zamieszkania","9/10","balkon","800 zł",NA,NA,"wtórny","biuro nieruchomości",1973,"blok",NA,"tak",NA,"wielka płyta"
"Bezpośrednio - 5 pokoi - 2 tarasy - 2 garaże",2490000,24653,5,101,"Czyste","Wola","pełna własność","do wykończenia","5/5","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona","oddzielna kuchnia, pom. użytkowe"
"Mieszkanie 80 m2, Warszawa, Wilanów, Zaściankowa 2",1680000,20875,3,80.48,"Zawady","Wilanów","pełna własność","do zamieszkania","parter/2","ogródek, taras","1 500 zł",NA,"miejskie","wtórny","prywatny",2018,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","beton"
"43,14m2, bezpośrednio, 2 pokoje, komórka, garaż",815346,18900,2,43.14,"Błonia Wilanowskie","Wilanów",NA,"do wykończenia","4/4","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","prywatny",2025,"apartamentowiec",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","pom. użytkowe"
"3-pokoje z DWOMA OGRÓDKAMI ul. Poematu",818905.5,12898,3,63.49,"Falenica","Wawer",NA,"do wykończenia","5/5","ogródek",NA,NA,"miejskie","pierwotny","deweloper",2025,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","telewizja kablowa, internet, telefon"
"Mieszkanie 62,2 m2, 3 pokoje, Warszawa Gocław",770000,12379,3,62.2,"Gocław","Praga-Południe","pełna własność","do zamieszkania","parter/8","balkon","850 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1982,"blok",NA,"tak","monitoring / ochrona","wielka płyta"
"Mieszkanie 83 m2, 3 pokoje Warszawa Gocław",890000,10723,3,83,"Gocław","Praga-Południe",NA,"do remontu","2/3","balkon","1 500 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1996,"blok",NA,"nie","system alarmowy, monitoring / ochrona","cegła"
"Mieszkanie 57,2 m2, 2 pokoje Ursynów Warszawa",1050000,18357,2,57.2,"Ursynów-Centrum","Ursynów","pełna własność","do zamieszkania","1/3","balkon, ogródek","800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2004,"blok",NA,"nie","monitoring / ochrona","cegła"
"Mieszkanie 55,7 m2, 2 pokoje Gocław Warszawa",870000,15619,2,55.7,"Gocław","Praga-Południe",NA,"do zamieszkania","3/13","balkon","850 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2001,"blok",NA,"tak","monitoring / ochrona","cegła"
"Mieszkanie 55,7m2, 2 pokoje + ogród, W-wa Falenica",850000,15260,2,55.7,"Falenica","Wawer","pełna własność","do zamieszkania","parter/3","balkon, ogródek","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2018,"blok",NA,"tak","monitoring / ochrona","cegła"
"Mieszkanie 160 m2, 5/6 pokoi Warszawa Wawer",930000,5813,4,160,"Międzylesie","Wawer","pełna własność","do zamieszkania","parter/2","balkon, ogródek",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2022,NA,NA,"nie",NA,"cegła"
"3 pokojowe mieszkanie na Woli ul. Jana Kazimierza!",1299000,18964,3,68.5,"Odolany","Wola",NA,"do wykończenia","4/8",NA,NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2023,"apartamentowiec",NA,"nie","domofon / wideofon",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Mieszkanie dla Rodziny, lokata kapitału!",650000,13542,3,48,"Śródmieście Południowe","Śródmieście",NA,NA,"4/4",NA,"850 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1967,"blok",NA,"nie",NA,"drewniane"
"Nowe 2 pokoje ★ Posag 7 Panien ★ Ursus ★",515000,16613,2,31,"Szamoty","Ursus","pełna własność","do wykończenia","7/7","balkon","390 zł","garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","silikat"
"Super lokalizacja- Wyjątkowy apartament -ogródek",1400000,28000,2,50,"Śródmieście Północne","Śródmieście","pełna własność","do wykończenia","parter/8","ogródek, taras","400 zł","garaż/miejsce parkingowe","miejskie","pierwotny","prywatny",2023,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"3 pokoje po remoncie przy pl Unii BEZPOŚREDNIO",759000,18512,3,41,"Stary Mokotów","Mokotów","pełna własność","do zamieszkania","1/6","balkon",NA,NA,"miejskie","wtórny","prywatny",1960,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Twój wymarzony dom wśród zieleni, ciszy i spokoju",899000,15237,3,59,"Górce","Bemowo",NA,"do zamieszkania","2/4","balkon","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2005,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Sprzedam 2-pokojowe mieszkanie 43,8m2 Włochy/Ursus",661380,15100,2,43.8,"Skorosze","Ursus","pełna własność","do wykończenia","3/6","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","żelbet"
"Sprzedam 3-pokojowe mieszkanie 63,67m2/Taras 36m2!",926398.5,14550,3,63.67,"Skorosze","Ursus","pełna własność","do wykończenia","6/6","taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","żelbet"
"Do sprzedania 3 pokoje na BEMOWIE GÓRCZEWSKA 224",1070000,20939,3,51.1,"Górce","Bemowo","pełna własność","do zamieszkania",NA,"balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",NA,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"3-pokojowe mieszkanie przy Alejach Jerozolimskich!",861697.5,14250,3,60.47,"Raków","Włochy","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","żelbet"
"4-pokojowe mieszkanie przy Wiśle, Oddanie zaraz!",1226758,15080,4,81.35,"Pelcowizna","Praga-Północ","pełna własność","do wykończenia","5/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","żelbet"
"Apartament| Żoliborz|93m2|4 pokoje|BEZ PROWIZJI",2310000,24892,4,92.8,"Stary Żoliborz","Żoliborz","pełna własność","do zamieszkania","2/5","balkon","2 200 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2006,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, piwnica"
"BEZPOŚREDNIO, bez PCC, NOWE, 2023, wykończone",965000,21444,2,45,"Służewiec","Mokotów","pełna własność","do zamieszkania","2/6","balkon","400 zł",NA,"miejskie","wtórny","prywatny",2022,"apartamentowiec",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"BEZPOŚREDNIO, bez PCC, NOWY, wykończony apartamen",1670000,18556,4,90,"Służewiec","Mokotów","pełna własność","do zamieszkania","2/6","balkon","900 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2022,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"BEZPOŚREDNIO, bez PCC, NOWE, 2023, wykończone",1150000,19163,3,60.01,"Służewiec","Mokotów","pełna własność","do zamieszkania",NA,"balkon","600 zł",NA,"miejskie","wtórny","prywatny",2023,"apartamentowiec",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","pustak"
"CENTRUM BEZP. 2 pok 50 m kw. w cenie 43 m kw.",799000,15980,2,50,"Filtry","Ochota","pełna własność","do zamieszkania","4/7","balkon","820 zł",NA,"miejskie","wtórny","prywatny",1970,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","inny"
"4 rozkładowe pokoje I Ciche I Metro",920000,12606,4,72.98,"Górce","Bemowo",NA,"do zamieszkania","1/9","balkon","985 zł",NA,"miejskie","wtórny","biuro nieruchomości",1990,"blok",NA,"tak",NA,"żelbet"
"Mieszkanie Warszawa-Ursus Gotowe do zamieszkania",699000,15533,2,45,"Czechowice","Ursus","pełna własność","do zamieszkania","7/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","prywatny",2001,"blok",NA,"tak","teren zamknięty, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka"
"3 pokoje na zielonym osiedlu Służew nad Dolinką",949000,16886,3,56.2,"Służew","Mokotów",NA,"do zamieszkania","10/11","balkon","1 250 zł",NA,"miejskie","wtórny","biuro nieruchomości",1977,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","inny"
"Ustawne 2-pokoje z OGRÓDKIEM ul. Poematu",635817,13641,2,46.61,"Falenica","Wawer",NA,"do wykończenia","parter/5","ogródek",NA,NA,"miejskie","pierwotny","deweloper",2025,"blok",NA,"tak","domofon / wideofon, monitoring / ochrona","telewizja kablowa, internet, telefon"
"35 m2 z balkonem, piwnicą i miejscem postojowym",437000,12486,1,35,"Zielona-Grzybowa","Wesoła","pełna własność","do wykończenia","parter/2","balkon","350 zł","garaż/miejsce parkingowe","gazowe","wtórny","prywatny",NA,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","cegła"
"Penthouse 4 pokoje 109 m2 2 garaże taras",1599000,14670,4,109,"Nowodwory","Białołęka","pełna własność","do zamieszkania","4/4","balkon, taras","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon","cegła"
"Saska Kępa 2 pokoje 38 m2 ul. Ateńska duży balkon",589000,15541,2,37.9,"Saska Kępa","Praga-Południe",NA,"do remontu","7/10","balkon","630 zł",NA,"miejskie","wtórny","biuro nieruchomości",1974,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"2-pokojowe mieszkanie 35m2 + loggia",754005,21500,2,35.07,"Sadyba","Mokotów","pełna własność","do wykończenia","10/11",NA,NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Ekskluzywny apartament z pięknym widokiem na Wwa",1130000,29527,2,38.27,"Odolany","Wola","pełna własność","do zamieszkania","10/12",NA,"500 zł",NA,"miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak","domofon / wideofon","meble"
"3-pokoje przy Parku Królikarnia i metrze Wierzbno",769000,16938,3,45.4,"Wierzbno","Mokotów",NA,"do zamieszkania","5/12","balkon","760 zł",NA,"miejskie","wtórny","biuro nieruchomości",1967,"blok",NA,"tak",NA,"żelbet"
"Bez podatku! Bez prowizji! Gotowe. 42m2, W-wa-Wola",919000,22091,2,41.6,"Czyste","Wola","pełna własność","do wykończenia","parter/8","ogródek",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","monitoring / ochrona","telewizja kablowa, internet, telefon"
"Bezpośrednio nowe wykończone 63,8m2 ul Przy Forcie",937566,14700,3,63.78,"Skorosze","Ursus","pełna własność","do zamieszkania","5/6","balkon","820 zł","garaż/miejsce parkingowe",NA,"wtórny","prywatny",2023,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","beton komórkowy"
"Bez Prowizji! Apartament, 58 m2, Warszawa-Mokotów",1265000,21683,3,58.34,"Stegny","Mokotów","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","monitoring / ochrona","telewizja kablowa, internet, telefon"
"Mieszkanie 4 pokojowe na Pradze Północ.",1299000,17554,4,74,"Szmulowizna","Praga-Północ","pełna własność","do zamieszkania","5/5","balkon, taras","1 200 zł",NA,NA,"wtórny","biuro nieruchomości",2008,"blok",NA,"tak","teren zamknięty, domofon / wideofon","cegła"
"Bez prowizji ! Bez podatku, 60m2, Warszawa-Wola",1189000,19976,3,59.52,"Koło","Wola","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2024,"apartamentowiec",NA,"tak","monitoring / ochrona","telewizja kablowa, internet, telefon"
"3-pokojowe mieszkanie 55m2 + balkon",665040,12000,3,55.42,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"2-pokojowe mieszkanie 38m2 + balkon Bezpośrednio",492412,12850,2,38.32,"Kawęczyn-Wygoda","Rembertów","pełna własność","do wykończenia","2/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Mieszkanie 44 mkw ul. Kobielska 6",727000,16523,2,44,"Grochów","Praga-Południe","pełna własność","do zamieszkania","2/8","balkon","780 zł","garaż/miejsce parkingowe","gazowe","wtórny","prywatny",2006,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Mieszkanie 48m2 CENTRUM ul.Grzybowska BEZ PROWIZJI",912000,19000,2,48,"Śródmieście Północne","Śródmieście","pełna własność","do zamieszkania","> 10/15","balkon","800 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1972,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","wielka płyta"
"3 pokoje - widok panorama Warszawy",839000,13532,3,62,"Szamoty","Ursus","pełna własność","do wykończenia","6/7","balkon","590 zł","garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","pustak"
"3 pokoje na Ursynowie | ul. Na Uboczu",895000,13499,3,66.3,"Natolin","Ursynów",NA,"do wykończenia","3/11","balkon","850 zł",NA,"miejskie","wtórny","biuro nieruchomości",1982,"blok",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","meble"
"Saska Kępa| Standard Premium| 2 pokoje 41 m2",857500,20915,2,41,"Saska Kępa","Praga-Południe",NA,"do zamieszkania","parter/3",NA,"580 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1955,"kamienica",NA,"nie","system alarmowy, drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"Penthouse z tarasem przy Łazienkach Królewskich",7490000,41844,4,179,"Ujazdów","Śródmieście",NA,NA,"4/4","taras",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2021,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}4"
"4-pokojowe, wykończone, na Pradze!",1200000,17870,4,67.15,"Szmulowizna","Praga-Północ","pełna własność","do zamieszkania","1/1",NA,"700 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2022,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"RozległyWidok!LasBielański!3Pok!Loggia-Huśtawki:)",789000,14089,3,56,"Huta","Bielany",NA,NA,"> 10/15","balkon","880 zł",NA,NA,"wtórny","biuro nieruchomości",1978,"blok",NA,"tak",NA,"piwnica"
"37,5m, 2 pokoje, Ochota, Żwirki i Wigury",615000,16400,2,37.5,"Rakowiec","Ochota","spółdzielcze wł. prawo do lokalu","do zamieszkania","3/4","balkon","600 zł",NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"Mieszkanie METRO SŁODOWIEC | 2 pokoje | 36,5m",650000,17823,2,36.47,"Słodowiec","Bielany","spółdzielcze wł. prawo do lokalu","do zamieszkania","5/10",NA,"550 zł",NA,"miejskie","wtórny","prywatny",NA,"blok",NA,"tak","domofon / wideofon","wielka płyta"
"Po remoncie, 2 stronne, komórka lokatorska, cisza",849000,16049,3,52.9,"Stegny","Mokotów","pełna własność","do zamieszkania","parter/4","ogródek","615 zł","garaż/miejsce parkingowe","miejskie","wtórny","prywatny",1974,"blok",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","wielka płyta"
"Najpiękniejsze mieszkanie na całym Mokotowie!",2500000,29412,3,85,"Służewiec","Mokotów",NA,"do zamieszkania","parter/8",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak",NA,"meble"
"Najpiękniejsze mieszkanie na całym Mokotowie!",2500000,29412,3,85,"Służew","Mokotów",NA,"do zamieszkania","parter/8",NA,NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak",NA,"meble"
"nieruchomość w reprezentacyjnej kamienicy Żoliborz",1501500,19482,3,77.07,"Stary Żoliborz","Żoliborz",NA,NA,NA,NA,"920 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1929,"kamienica",NA,"nie","system alarmowy, teren zamknięty, domofon / wideofon","piwnica, oddzielna kuchnia"
"[Wideo] Słoneczne i rozkładowe 67m2 po remoncie",699000,10433,3,67,"Brzeziny","Białołęka",NA,"do zamieszkania","2/3","balkon","800 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2013,"blok",NA,"nie","monitoring / ochrona","cegła"
